"predictor","agg","prop_same_sign_shannon","prop_same_sign_turnover","prop_same_sign_richness","n_sites_shannon","mean_diff_shannon","median_diff_shannon","n_sites_turnover","mean_diff_turnover","median_diff_turnover","n_sites_richness","mean_diff_richness","median_diff_richness"
"B4_RaoQ_w5","agg2",0.333333333333333,1,0.333333333333333,1,-3.53157114010737,-3.53157114010737,3,-3.82147419354839,-3.50752258064516,1,-1.5124,-1.5124
"B4_RaoQ_w5","agg4",0.333333333333333,1,0.333333333333333,1,-3.13817114010737,-3.13817114010737,3,-3.03914086021505,-3.11412258064516,1,-0.3489,-0.3489
"B4_RaoQ_w7","agg1",0.333333333333333,1,0.333333333333333,1,-3.78947114010737,-3.78947114010737,3,-4.21530752688172,-3.8347,1,-2.0222,-2.0222
"B4_RaoQ_w7","agg2",0.333333333333333,1,0.333333333333333,1,-3.36597114010737,-3.36597114010737,3,-3.66197419354839,-3.34192258064516,1,-1.4878,-1.4878
"B4_RaoQ_w7","agg4",0.333333333333333,1,0.333333333333333,1,-2.85827114010737,-2.85827114010737,3,-2.86604086021505,-2.83422258064516,1,-0.1462,-0.1462
"B4_RaoQ_w9","agg1",0.333333333333333,1,0.333333333333333,1,0.13612885989263,0.13612885989263,3,-0.71100752688172,-0.3418,1,1.4707,1.4707
"B4_RaoQ_w9","agg2",0.666666666666667,0,0.333333333333333,2,3.84226635963102,3.84226635963102,0,NA,NA,1,-4.1434,-4.1434
"B4_RaoQ_w9","agg4",0.666666666666667,0,0.333333333333333,2,13.543166359631,13.543166359631,0,NA,NA,1,3.2325,3.2325
"B4_glcm_ASM","agg1",0.333333333333333,1,0.333333333333333,1,-12.4302711401074,-12.4302711401074,3,-7.18140752688172,-5.8728,1,-1.4527,-1.4527
"B4_glcm_ASM","agg2",0.333333333333333,1,0.333333333333333,1,-9.22277114010737,-9.22277114010737,3,-5.79040752688172,-5.6291,1,-0.7309,-0.7309
"B4_glcm_ASM","agg4",0.333333333333333,1,0.333333333333333,1,-5.15987114010737,-5.15987114010737,3,-3.93274086021505,-4.8849,1,0.0349999999999999,0.0349999999999999
"B4_glcm_contrast","agg1",0.666666666666667,0.666666666666667,0,2,-0.0688018229929401,-0.0688018229929401,2,-1.09966129032258,-1.09966129032258,0,NA,NA
"B4_glcm_contrast","agg2",0.666666666666667,0,0.333333333333333,2,6.53571635963103,6.53571635963103,0,NA,NA,1,0.0204000000000004,0.0204000000000004
"B4_glcm_contrast","agg4",0.666666666666667,0,0.333333333333333,2,17.900766359631,17.900766359631,0,NA,NA,1,12.8621,12.8621
"B4_glcm_dissimilarity","agg1",0.333333333333333,1,0.333333333333333,1,-11.5441711401074,-11.5441711401074,3,-6.39194086021505,-4.7227,1,-1.1205,-1.1205
"B4_glcm_dissimilarity","agg2",0.333333333333333,1,0.333333333333333,1,-9.76887114010737,-9.76887114010737,3,-5.61804086021505,-4.8737,1,-0.4231,-0.4231
"B4_glcm_dissimilarity","agg4",0.333333333333333,1,0.333333333333333,1,-5.88407114010737,-5.88407114010737,3,-3.65307419354839,-3.8941,1,0.6074,0.6074
"B4_glcm_entropy","agg1",0.333333333333333,1,0.333333333333333,1,-12.2934711401074,-12.2934711401074,3,-7.03897419354839,-5.5481,1,-1.4869,-1.4869
"B4_glcm_entropy","agg2",0.333333333333333,1,0.333333333333333,1,-10.0963711401074,-10.0963711401074,3,-6.16854086021505,-5.6967,1,-0.9241,-0.9241
"B4_glcm_entropy","agg4",0.333333333333333,1,0.333333333333333,1,-5.83977114010737,-5.83977114010737,3,-4.38040752688172,-5.125,1,-0.388,-0.388
"B4_glcm_homogeneity","agg1",0.333333333333333,1,0.333333333333333,1,-11.1014711401074,-11.1014711401074,3,-6.28674086021505,-4.4923,1,-1.478,-1.478
"B4_glcm_homogeneity","agg2",0.333333333333333,1,0.333333333333333,1,-11.4468711401074,-11.4468711401074,3,-6.76844086021505,-5.4571,1,-1.6129,-1.6129
"B4_glcm_homogeneity","agg4",0.333333333333333,1,0.333333333333333,1,-10.7544711401074,-10.7544711401074,3,-6.48070752688172,-5.7034,1,-1.1958,-1.1958
"SSD","agg1",0.333333333333333,0.333333333333333,0,1,-0.16983250587851,-0.16983250587851,1,0.1519,0.1519,0,NA,NA
"SSD","agg2",0.333333333333333,0.333333333333333,0,1,-0.16863250587851,-0.16863250587851,1,0.1509,0.1509,0,NA,NA
"SSD","agg4",0.333333333333333,0.333333333333333,0,1,-0.16533250587851,-0.16533250587851,1,0.1493,0.1493,0,NA,NA
